기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2015.11	망원	128,744	80,134	13,910	25,430	5,895	-	3,375
2015.11	난지	189,643	129,110	13,909	29,290	11,880	-	5,454
2015.11	강서	133,948	77,924	44,494	10,364	1,000	-	166
2015.12	합계	1,074,235	417,675	136,556	151,321	29,272	293,295	46,116
2015.12	광나루	29,528	9,916	6,162	10,571	2,533	-	346
2015.12	잠실	26,695	10,806	5,158	6,421	3,179	-	1,131
2015.12	뚝섬	186,558	79,315	17,328	15,348	7,767	55,775	11,025
2015.12	잠원	80,318	41,376	10,450	16,710	-	-	11,782
2015.12	반포	144,591	10,444	5,540	15,371	-	113,136	100
2015.12	이촌	63,706	34,106	10,580	14,340	-	-	4,680
2015.12	여의도	211,383	92,803	8,182	14,173	7,444	78,644	10,137
2015.12	양화	96,124	35,793	39,331	18,973	81	-	1,946
2015.12	망원	77,751	34,131	13,880	24,320	2,720	-	2,700
2015.12	난지	109,693	38,750	8,670	9,855	4,610	45,740	2,068
2015.12	강서	47,888	30,235	11,275	5,239	938	-	201
2016.01	합계	3,438,959	1,387,693	394,001	820,721	19,582	726,042	90,920
2016.01	광나루	276,809	91,015	64,299	118,330	2,847	-	318
2016.01	잠실	116,826	55,905	18,171	34,371	1,442	-	6,937
2016.01	뚝섬	693,001	312,240	57,957	152,205	4,307	134,886	31,406
2016.01	잠원	358,946	156,290	59,820	133,490	-	-	9,346
2016.01	반포	350,876	105,740	42,440	63,690	1,526	135,410	2,070
2016.01	이촌	180,590	131,190	18,190	27,530	-	-	3,680
2016.01	여의도	716,756	223,477	6,712	39,636	3,573	411,141	32,217
2016.01	양화	171,113	69,070	35,808	64,955	97	-	1,183
2016.01	망원	200,630	93,610	42,600	59,720	2,330	-	2,370
2016.01	난지	177,837	78,705	7,016	43,725	2,520	44,605	1,266
2016.01	강서	195,575	70,451	40,988	83,069	940	-	127
2016.02	합계	3,442,621	1,420,766	383,142	808,188	35,736	731,674	63,115
2016.02	광나루	268,373	88,820	61,011	116,286	1,983	-	273
2016.02	잠실	144,457	65,501	22,963	41,315	8,200	-	6,478
2016.02	뚝섬	726,524	349,315	53,494	166,124	3,363	133,427	20,801
2016.02	잠원	306,450	129,889	52,325	116,425	250	-	7,561
2016.02	반포	292,824	101,689	39,273	63,020	4,082	83,235	1,525
2016.02	이촌	226,630	165,350	38,080	20,290	-	-	2,910
2016.02	여의도	743,706	201,704	5,778	37,743	3,410	477,426	17,645
2016.02	양화	193,864	89,723	33,476	68,105	433	-	2,127
2016.02	망원	182,990	88,970	34,390	52,770	5,035	-	1,825
2016.02	난지	156,177	66,330	6,331	36,850	7,211	37,586	1,869
2016.02	강서	200,626	73,475	36,021	89,260	1,769	-	101
2016.03	합계	5,115,738	2,078,992	586,134	1,288,194	53,290	1,010,068	99,060
2016.03	광나루	360,224	109,865	76,678	168,547	4,718	-	416
2016.03	잠실	239,729	101,264	43,891	78,851	6,500	-	9,223
2016.03	뚝섬	1,201,251	614,090	115,280	241,499	22,080	190,466	17,836
2016.03	잠원	351,352	148,600	54,820	139,820	-	-	8,112
2016.03	반포	419,008	147,800	56,628	86,294	2,014	124,214	2,058
2016.03	이촌	361,460	205,610	58,570	86,790	-	-	10,490
2016.03	여의도	984,061	248,821	7,772	72,359	8,345	612,666	34,098
2016.03	양화	329,198	148,338	59,086	118,872	310	-	2,592
2016.03	망원	247,550	113,010	49,530	79,500	3,190	-	2,320
2016.03	난지	339,918	145,980	13,472	81,100	4,866	82,722	11,778
2016.03	강서	281,987	95,614	50,407	134,562	1,267	-	137
2016.04	합계	4,747,476	1,904,387	594,729	1,378,288	58,071	704,071	107,930
2016.04	광나루	379,776	110,077	80,306	183,744	4,029	-	1,620
2016.04	잠실	310,583	142,801	48,315	99,773	7,492	-	12,202
2016.04	뚝섬	1,152,218	512,394	112,453	245,954	18,925	240,206	22,286
2016.04	잠원	343,984	147,900	59,510	129,330	112	-	7,132
2016.04	반포	507,023	149,800	59,807	88,580	4,499	199,568	4,769
2016.04	이촌	309,375	177,830	46,740	71,730	-	-	13,075
2016.04	여의도	280,685	73,046	1,696	19,147	250	175,761	10,785
2016.04	양화	478,675	219,400	63,279	192,281	415	-	3,300
2016.04	망원	270,240	114,090	55,990	91,510	5,280	-	3,370
2016.04	난지	390,812	156,240	14,353	86,800	15,708	88,536	29,175
2016.04	강서	324,105	100,809	52,280	169,439	1,361	-	216
2016.05	합계	7,366,536	2,603,900	657,589	1,617,165	285,448	1,977,869	224,565
2016.05	광나루	393,620	117,915	85,311	179,835	8,474	-	2,085
2016.05	잠실	333,953	156,747	57,328	100,737	4,992	-	14,149
2016.05	뚝섬	1,495,923	603,026	109,334	322,489	67,437	351,794	41,843
2016.05	잠원	379,953	161,380	56,450	149,600	2,760	-	9,763
2016.05	반포	771,399	216,030	75,421	120,190	72,203	277,266	10,289
2016.05	이촌	323,000	179,770	56,620	76,380	-	-	10,230
2016.05	여의도	2,077,532	566,953	11,247	115,589	58,238	1,253,763	71,742
2016.05	양화	394,426	167,552	66,440	156,631	744	-	3,059
2016.05	망원	293,115	125,920	62,040	95,860	4,510	-	4,785
2016.05	난지	543,690	197,280	20,582	109,600	64,876	95,046	56,306
2016.05	강서	359,925	111,327	56,816	190,254	1,214	-	314
2016.06	합계	7,848,587	2,721,851	742,897	1,851,486	222,978	2,051,144	258,231
2016.06	광나루	385,115	115,325	82,111	179,350	4,821	-	3,508
2016.06	잠실	495,676	165,519	107,352	187,612	10,646	-	24,547
2016.06	뚝섬	1,737,554	710,965	121,657	417,231	45,447	405,074	37,180
2016.06	잠원	383,634	169,038	71,198	131,343	-	-	12,055
2016.06	반포	769,056	263,510	90,137	139,826	5,448	248,812	21,323
2016.06	이촌	344,164	131,750	76,170	118,920	5,010	-	12,314
2016.06	여의도	2,061,532	502,737	10,621	157,649	71,380	1,237,703	81,442
2016.06	양화	362,228	161,865	46,950	150,317	813	-	2,283
2016.06	망원	311,975	135,420	57,220	102,330	7,220	-	9,785
2016.06	난지	684,477	261,090	24,628	116,040	69,947	159,555	53,217
2016.06	강서	313,176	104,632	54,853	150,868	2,246	-	577
2016.07	합계	8,228,965	2,867,123	828,544	1,781,744	198,238	2,145,308	408,008
2016.07	광나루	390,016	111,992	80,981	177,825	3,390	-	15,828
2016.07	잠실	477,063	162,450	91,907	176,780	2,692	-	43,234
2016.07	뚝섬	1,824,317	768,190	220,022	414,920	27,766	307,065	86,354
2016.07	잠원	348,610	151,186	71,648	103,220	75	-	22,481
2016.07	반포	759,010	249,910	83,741	176,060	4,220	233,067	12,012
2016.07	이촌	364,585	131,618	86,720	129,815	3,460	-	12,972
2016.07	여의도	2,342,595	583,847	7,406	112,986	134,284	1,380,610	123,462
2016.07	양화	308,365	132,887	43,315	124,221	1,452	-	6,490
2016.07	망원	331,483	137,589	51,665	97,950	8,285	-	35,994
2016.07	난지	798,934	334,080	32,165	148,480	11,136	224,566	48,507
2016.07	강서	283,987	103,374	58,974	119,487	1,478	-	674
2016.08	합계	9,415,349	3,206,130	868,085	2,094,210	273,815	2,456,016	517,093
2016.08	광나루	449,821	127,560	90,085	207,481	4,157	-	20,538
2016.08	잠실	568,458	188,110	106,472	212,795	4,778	-	56,303
2016.08	뚝섬	2,133,885	875,148	181,560	540,022	16,598	391,489	129,068
2016.08	잠원	317,128	138,827	57,143	105,238	1	-	15,919
2016.08	반포	831,841	281,677	93,391	172,799	8,061	265,486	10,427
2016.08	이촌	466,828	162,690	110,640	167,780	3,180	-	22,538
2016.08	여의도	2,483,132	546,398	8,695	89,888	207,021	1,459,573	171,557
2016.08	양화	349,000	136,786	52,761	144,999	1,728	-	12,726
2016.08	망원	374,356	154,830	60,620	111,390	6,745	-	40,771
2016.08	난지	1,143,450	487,658	45,635	214,400	19,730	339,468	36,559
2016.08	강서	297,450	106,446	61,083	127,418	1,816	-	687
2016.09	합계	7,239,130	2,513,546	693,121	1,698,304	345,390	1,739,338	249,431
2016.09	광나루	410,076	119,225	81,030	200,400	5,405	-	4,016
2016.09	잠실	333,953	156,747	57,328	100,737	4,992	-	14,149
